wavelength,absorbance
240.0170856,-0.059235953
240.1135633,-0.065319825
240.2100411,-0.071403698
240.2100411,-0.073431655
240.2100411,-0.075459613
240.3065188,-0.07748757
240.3065188,-0.079515528
240.3065188,-0.081543485
240.3065188,-0.083571443
240.3065188,-0.0855994
240.4029966,-0.073431655
240.4029966,-0.075459613
240.4029966,-0.07748757
240.4029966,-0.079515528
240.4994743,-0.071403698
240.4994743,-0.075459613
240.4994743,-0.079515528
240.4994743,-0.081543485
240.595952,-0.0855994
240.595952,-0.089655316
240.7889075,-0.0855994
240.8853852,-0.059235953
240.8853852,-0.065319825
240.8853852,-0.067347783
240.8853852,-0.06937574
240.8853852,-0.071403698
240.8853852,-0.073431655
240.8853852,-0.075459613
240.8853852,-0.07748757
240.8853852,-0.081543485
240.981863,-0.034900463
240.981863,-0.03692842
240.981863,-0.047068208
240.981863,-0.049096165
240.981863,-0.051124123
240.981863,-0.055180038
241.0783407,-0.018676802
241.0783407,-0.02070476
241.0783407,-0.022732717
241.0783407,-0.024760675
241.0783407,-0.02881659
241.1748184,-0.016648845
241.1748184,-0.018676802
241.2712962,-0.030844548
241.2712962,-0.032872505
241.2712962,-0.034900463
241.2712962,-0.03692842
241.2712962,-0.038956378
241.3677739,-0.04504025
241.4642516,-0.030844548
241.5607294,-0.010564972
241.6572071,0.001602773
241.6572071,-0.000425185
241.6572071,-0.002453142
241.6572071,-0.0044811
241.7536848,0.00363073
241.8501626,0.009714603
241.8501626,0.007686645
241.9466403,0.009714603
242.0431181,0.01174256
242.0431181,0.009714603
242.0431181,0.005658688
242.0431181,0.00363073
242.0431181,0.001602773
242.0431181,-0.000425185
242.2360735,-0.038956378
242.2360735,-0.040984335
242.2360735,-0.047068208
242.2360735,-0.049096165
242.2360735,-0.051124123
242.2360735,-0.05315208
242.2360735,-0.055180038
242.2360735,-0.059235953
242.2360735,-0.06126391
242.2360735,-0.065319825
242.2360735,-0.067347783
242.2360735,-0.06937574
242.3325513,-0.071403698
242.3325513,-0.073431655
242.3325513,-0.075459613
242.3325513,-0.07748757
242.3325513,-0.079515528
242.3325513,-0.081543485
242.429029,-0.065319825
242.429029,-0.067347783
242.429029,-0.06937574
242.429029,-0.071403698
242.429029,-0.073431655
242.5255067,-0.051124123
242.5255067,-0.05315208
242.5255067,-0.055180038
242.5255067,-0.057207995
242.5255067,-0.059235953
242.5255067,-0.06126391
242.6219845,-0.051124123
242.6219845,-0.05315208
242.6219845,-0.055180038
242.6219845,-0.057207995
242.6219845,-0.059235953
242.6219845,-0.06126391
242.7184622,-0.040984335
242.7184622,-0.043012293
242.7184622,-0.04504025
