wavelength,absorbance
239.8893566,0.012996432
239.8893566,0.001857699
239.8893566,-0.003092849
239.8893566,-0.008043397
239.8893566,-0.012993945
239.8893566,-0.016706856
239.8893566,-0.022895041
239.8893566,-0.030320863
239.8893566,-0.034033774
239.9860198,-0.037746685
239.9860198,-0.042697233
239.9860198,-0.047647781
239.9860198,-0.052598328
239.9860198,-0.057548876
239.9860198,-0.062499424
239.9860198,-0.067449972
239.9860198,-0.07240052
239.9860198,-0.077351068
239.9860198,-0.082301616
239.9860198,-0.087252164
239.9860198,-0.092202712
239.9860198,-0.09715326
239.9860198,-0.102103808
239.9860198,-0.107054356
240.082683,-0.114480178
240.082683,-0.119430726
240.1310146,-0.124381274
240.1310146,-0.129331822
240.1310146,-0.13428237
240.1793462,-0.139232918
240.2760094,-0.094677986
240.2760094,-0.099628534
240.2760094,-0.104579082
240.2760094,-0.10952963
240.2760094,-0.114480178
240.2760094,-0.119430726
240.3726727,-0.042697233
240.3726727,-0.046410144
240.3726727,-0.052598328
240.3726727,-0.057548876
240.3726727,-0.062499424
240.3726727,-0.067449972
240.3726727,-0.07240052
240.3726727,-0.077351068
240.3726727,-0.081063979
240.3726727,-0.087252164
240.4693359,0.001857699
240.4693359,-0.003092849
240.4693359,-0.00680576
240.4693359,-0.016706856
240.4693359,-0.026607952
240.4693359,-0.032796137
240.4693359,-0.036509048
240.5659991,0.029085713
240.5659991,0.024135165
240.5659991,0.019184617
240.6143307,0.014852887
240.6626623,0.009283521
240.6626623,0.004332973
240.6626623,-0.000617575
240.6626623,-0.005568123
240.6626623,-0.010518671
240.7593256,-0.017944493
240.7593256,-0.027845589
240.7593256,-0.032796137
240.7593256,-0.037746685
240.7593256,-0.042697233
240.7593256,-0.051360691
240.7593256,-0.057548876
240.7593256,-0.062499424
240.7593256,-0.069925246
240.7593256,-0.077351068
240.7593256,-0.081063979
240.8559888,-0.103341445
240.8559888,-0.112004904
240.9043204,-0.08477689
240.9043204,-0.089727438
240.9043204,-0.094059168
240.9043204,-0.099009716
241.0976468,-0.077351068
241.0976468,-0.081682798
241.1459784,-0.037746685
241.1459784,-0.042697233
241.1459784,-0.047647781
241.1459784,-0.052598328
241.1459784,-0.057548876
241.1459784,-0.062499424
241.1459784,-0.067449972
241.1459784,-0.07240052
241.1459784,-0.087252164
241.2426417,0.012996432
241.2426417,0.001857699
241.2426417,-0.003092849
241.2426417,-0.008043397
241.2426417,-0.012993945
241.2426417,-0.026607952
241.2426417,-0.0315585
241.3393049,-0.035271411
241.3393049,-0.040221959
241.3393049,-0.045172507
241.3393049,-0.051360691
241.3393049,-0.057548876
241.3393049,-0.062499424
241.3876365,-0.069925246
241.3876365,-0.074875794
241.5326313,-0.06002415
241.5326313,-0.064974698
241.5326313,-0.069925246
241.5326313,-0.073638157
241.6292945,-0.077351068
241.6292945,-0.082301616
241.6292945,-0.087252164
241.6292945,-0.092202712
241.6292945,-0.09715326
241.6292945,-0.100866171
241.7259578,-0.107054356
241.7259578,-0.112004904
241.8870631,-0.118605634
242.064279,-0.115098996
242.1126107,-0.100866171
242.1126107,-0.110767267
242.2092739,-0.081063979
242.2092739,-0.094677986
242.3059371,-0.08477689
242.4026003,-0.089727438
242.4026003,-0.094677986
242.5959268,-0.081063979
242.5959268,-0.099628534
242.5959268,-0.104579082
242.7409216,-0.063118243
242.7409216,-0.07673225
242.7892532,-0.042697233
242.7892532,-0.047647781
242.7892532,-0.057548876
242.7892532,-0.067449972
242.7892532,-0.07240052
242.7892532,-0.083539253
242.7892532,-0.094677986
242.8859164,0.011758795
242.8859164,0.006808247
242.8859164,0.001857699
242.8859164,-0.003092849
242.8859164,-0.008043397
242.8859164,-0.011756308
242.934248,-0.017944493
242.934248,-0.022895041
242.934248,-0.027845589
242.934248,-0.032796137
242.934248,-0.037127866
242.9825796,-0.042697233
242.9825796,-0.052598328
242.9825796,-0.062499424
242.9825796,-0.067449972
242.9825796,-0.07240052
242.9825796,-0.076113431
242.9825796,-0.083539253
243.0792429,-0.099628534
243.0792429,-0.104579082
243.0792429,-0.10952963
243.0792429,-0.130569459
243.1759061,-0.136757644
243.1759061,-0.14665874
243.1759061,-0.15037165
243.3692325,-0.156559835
243.3692325,-0.160272746
243.4658958,-0.030320863
243.4658958,-0.035271411
243.4658958,-0.046410144
243.4658958,-0.064974698
243.4658958,-0.068687609
243.4658958,-0.103341445
243.4658958,-0.115717815
243.562559,0.031560987
243.562559,0.004332973
243.562559,-0.000617575
243.562559,-0.005568123
243.562559,-0.010518671
243.562559,-0.015469219
243.562559,-0.020419767
243.562559,-0.024132678
243.6108906,0.025372802
243.6108906,0.021041072
243.6108906,0.014852887
243.6108906,0.009902339
243.7558854,0.003095336
243.7558854,-0.003092849
243.9008803,-0.016706856
243.9008803,-0.020419767
243.9492119,-0.027845589
244.0458751,-0.008043397
244.0458751,-0.011756308
244.0942067,-0.00247403
244.2069805,0.001857699
244.2392015,-0.004330486
244.2875331,0.010521158
244.3358648,0.024135165
244.3358648,0.019184617
244.432528,0.006808247
244.432528,0.003095336
244.432528,-0.003092849
244.432528,-0.008043397
244.432528,-0.012993945
244.432528,-0.017944493
244.432528,-0.022895041
244.432528,-0.027845589
244.432528,-0.032796137
244.432528,-0.037746685
244.432528,-0.042697233
244.432528,-0.047647781
244.432528,-0.051360691
244.5291912,-0.102103808
244.5775228,-0.06002415
244.5775228,-0.064974698
244.5775228,-0.069306428
244.5775228,-0.075494613
244.6258544,-0.055073602
244.6258544,-0.079826342
244.6258544,-0.08477689
244.6258544,-0.089727438
244.6258544,-0.093440349
244.7708492,-0.012993945
244.7708492,-0.017944493
244.7708492,-0.022895041
244.7708492,-0.027845589
244.7708492,-0.032796137
244.7708492,-0.037746685
244.7708492,-0.042697233
244.7708492,-0.047647781
244.8191809,-0.051360691
244.8191809,-0.057548876
244.8191809,-0.062499424
244.8191809,-0.067449972
244.9158441,-0.074875794
244.9158441,-0.082301616
245.0125073,-0.094677986
245.0125073,-0.099628534
245.0125073,-0.104579082
245.0125073,-0.10952963
245.0125073,-0.114480178
245.0125073,-0.119430726
245.0125073,-0.124381274
245.0125073,-0.128094185
245.0608389,-0.088489801
245.1091705,-0.050123054
245.1091705,-0.055073602
245.1091705,-0.062499424
245.1091705,-0.067449972
245.1091705,-0.07240052
245.1091705,-0.076113431
245.1091705,-0.082301616
245.2058337,-0.093440349
245.2541654,-0.103960263
245.2541654,-0.115098996
245.302497,-0.10952963
245.302497,-0.119430726
245.302497,-0.124381274
245.302497,-0.129331822
245.302497,-0.13428237
245.3991602,-0.035271411
245.3991602,-0.040221959
245.3991602,-0.045172507
245.3991602,-0.048885418
245.3991602,-0.057548876
245.3991602,-0.062499424
245.3991602,-0.067449972
245.3991602,-0.07240052
