wavelength,absorbance
239.963388,-0.012092227
239.963388,-0.013601237
240.0596935,-0.012092227
240.0596935,-0.013601237
240.1559989,-0.012092227
240.1559989,-0.013601237
240.2523044,-0.012092227
240.2523044,-0.013601237
240.3486099,-0.012092227
240.3486099,-0.013601237
240.4449154,-0.012092227
240.4449154,-0.013601237
240.5412208,-0.010583217
240.5412208,-0.012092227
240.6375263,-0.010583217
240.7338318,-0.010583217
240.7338318,-0.012092227
240.8301372,-0.010583217
240.8301372,-0.012092227
240.9264427,-0.010583217
240.9264427,-0.012092227
241.0227482,-0.007565196
241.0227482,-0.009074206
241.1190537,-0.007565196
241.1190537,-0.009074206
241.2153591,-0.007565196
241.2153591,-0.009074206
241.3116646,-0.007565196
241.3116646,-0.009074206
241.4079701,-0.007565196
241.4079701,-0.009074206
241.5042755,-0.007565196
241.5042755,-0.009074206
241.600581,-0.009074206
241.600581,-0.010583217
241.600581,-0.012092227
241.6968865,-0.007565196
241.6968865,-0.009074206
241.6968865,-0.010583217
241.793192,-0.007565196
241.793192,-0.009074206
241.8894974,-0.007565196
241.8894974,-0.009074206
241.9858029,-0.007565196
241.9858029,-0.009074206
242.0821084,-0.007565196
242.0821084,-0.009074206
242.1784138,-0.004547176
242.1784138,-0.006056186
242.1784138,-0.007565196
242.2747193,-0.004547176
242.2747193,-0.006056186
242.2747193,-0.007565196
242.3710248,-0.003038166
242.3710248,-0.004547176
242.3710248,-0.006056186
242.4673303,-0.003038166
242.4673303,-0.004547176
242.5636357,-0.003038166
242.5636357,-0.004547176
242.6599412,-0.003038166
242.6599412,-0.004547176
242.7562467,-0.003038166
242.7562467,-0.004547176
242.8525521,-2.01452E-05
242.8525521,-0.001529155
242.8525521,-0.003038166
242.8525521,-0.004547176
242.9488576,-2.01452E-05
242.9488576,-0.001529155
243.0451631,-2.01452E-05
243.0451631,-0.001529155
243.1414686,-2.01452E-05
243.1414686,-0.001529155
243.237774,-2.01452E-05
243.237774,-0.001529155
243.3340795,-2.01452E-05
243.3340795,-0.001529155
243.430385,-2.01452E-05
243.430385,-0.001529155
243.5266904,-2.01452E-05
243.5266904,-0.001529155
243.6229959,0.001488865
243.6229959,-2.01452E-05
243.6229959,-0.001529155
243.7193014,0.002997875
243.7193014,0.001488865
243.7193014,-2.01452E-05
243.8156069,0.002997875
243.8156069,0.001488865
243.9119123,0.004506885
243.9119123,0.002997875
244.0082178,0.006015896
244.0082178,0.004506885
244.1045233,0.007524906
244.1045233,0.006015896
244.1045233,0.004506885
244.2008287,0.007524906
244.2008287,0.006015896
244.2008287,0.004506885
244.2971342,0.007524906
244.2971342,0.006015896
244.3934397,0.009033916
244.3934397,0.007524906
244.3934397,0.006015896
244.4897452,0.009033916
244.4897452,0.007524906
244.5860506,0.010542926
244.5860506,0.009033916
244.5860506,0.007524906
244.6823561,0.012051936
244.6823561,0.010542926
244.7786616,0.013560947
244.7786616,0.012051936
244.7786616,0.010542926
244.874967,0.013560947
244.874967,0.012051936
244.9712725,0.013560947
244.9712725,0.012051936
245.067578,0.015069957
245.067578,0.013560947
245.1638835,0.016578967
245.1638835,0.015069957
245.2601889,0.018087977
245.2601889,0.016578967
245.2601889,0.015069957
245.3564944,0.021105998
245.3564944,0.019596987
245.3564944,0.018087977
245.4527999,0.021105998
245.4527999,0.019596987
245.5491053,0.021105998
245.5491053,0.019596987
245.6454108,0.022615008
245.6454108,0.021105998
245.7417163,0.024124018
245.7417163,0.022615008
245.8380218,0.025633028
245.8380218,0.024124018
245.9343272,0.028651049
245.9343272,0.027142038
245.9343272,0.025633028
246.0306327,0.028651049
246.0306327,0.027142038
246.1269382,0.028651049
246.1269382,0.027142038
246.2232436,0.031669069
246.2232436,0.030160059
246.2232436,0.028651049
246.3195491,0.031669069
246.3195491,0.030160059
246.4158546,0.033178079
246.4158546,0.031669069
246.4158546,0.030160059
246.5121601,0.034687089
246.5121601,0.033178079
246.5121601,0.031669069
246.6084655,0.036196099
246.6084655,0.034687089
246.6084655,0.033178079
246.704771,0.03921412
246.704771,0.03770511
246.704771,0.036196099
246.704771,0.034687089
246.8010765,0.03921412
246.8010765,0.03770511
246.8973819,0.04072313
246.8973819,0.03921412
246.8973819,0.03770511
246.9936874,0.04072313
246.9936874,0.03921412
247.0899929,0.04374115
247.0899929,0.04223214
247.0899929,0.04072313
247.1862984,0.045250161
247.1862984,0.04374115
247.1862984,0.04223214
247.2826038,0.048268181
247.2826038,0.046759171
247.2826038,0.045250161
247.3789093,0.048268181
247.3789093,0.046759171
247.4752148,0.051286201
247.4752148,0.049777191
247.4752148,0.048268181
247.5715202,0.052795212
247.5715202,0.051286201
247.5715202,0.049777191
247.6678257,0.054304222
247.6678257,0.052795212
247.7641312,0.057322242
247.7641312,0.055813232
247.7641312,0.054304222
247.8604367,0.057322242
247.8604367,0.055813232
247.9567421,0.060340263
247.9567421,0.058831252
247.9567421,0.057322242
248.0530476,0.061849273
248.0530476,0.060340263
248.0530476,0.058831252
248.1493531,0.063358283
248.1493531,0.061849273
248.1493531,0.060340263
248.2456585,0.064867293
248.2456585,0.063358283
248.2456585,0.061849273
248.341964,0.066376303
248.341964,0.064867293
248.4382695,0.069394324
248.4382695,0.067885314
248.4382695,0.066376303
248.534575,0.070903334
248.534575,0.069394324
248.534575,0.067885314
248.6308804,0.072412344
248.6308804,0.070903334
248.6308804,0.069394324
248.7271859,0.073921354
248.7271859,0.072412344
248.7271859,0.070903334
248.8234914,0.075430364
248.8234914,0.073921354
248.9197968,0.076939375
248.9197968,0.075430364
248.9197968,0.073921354
249.0161023,0.078448385
249.0161023,0.076939375
249.1124078,0.079957395
249.1124078,0.078448385
249.2087133,0.081466405
249.2087133,0.079957395
249.2087133,0.078448385
249.3050187,0.082975415
249.3050187,0.081466405
249.3050187,0.079957395
249.4013242,0.082975415
249.4013242,0.081466405
249.4976297,0.084484426
249.4976297,0.082975415
249.5939351,0.085993436
249.5939351,0.084484426
249.5939351,0.082975415
249.6902406,0.087502446
249.6902406,0.085993436
249.7865461,0.089011456
249.7865461,0.087502446
249.7865461,0.085993436
249.8828516,0.090520466
249.8828516,0.089011456
249.979157,0.093538487
249.979157,0.092029477
249.979157,0.090520466
250.0754625,0.096556507
250.0754625,0.095047497
250.0754625,0.093538487
250.171768,0.098065517
250.171768,0.096556507
250.2680734,0.102592548
250.2680734,0.101083538
250.2680734,0.099574528
250.2680734,0.098065517
250.3643789,0.105610568
250.3643789,0.104101558
250.3643789,0.102592548
250.3643789,0.101083538
250.4606844,0.108628589
250.4606844,0.107119579
250.4606844,0.105610568
250.5569899,0.110137599
250.5569899,0.108628589
250.5569899,0.107119579
250.6532953,0.113155619
250.6532953,0.111646609
250.6532953,0.110137599
250.7496008,0.11617364
250.7496008,0.11466463
250.7496008,0.113155619
250.8459063,0.11768265
250.8459063,0.11617364
250.8459063,0.11466463
250.9422117,0.12220968
250.9422117,0.12070067
250.9422117,0.11919166
250.9422117,0.11768265
251.0385172,0.125227701
251.0385172,0.123718691
251.0385172,0.12220968
251.0385172,0.12070067
251.0385172,0.11919166
251.1348227,0.129754731
251.1348227,0.128245721
251.1348227,0.126736711
251.1348227,0.125227701
251.2311282,0.132772752
251.2311282,0.131263742
251.2311282,0.129754731
251.2311282,0.128245721
251.2311282,0.126736711
251.3274336,0.137299782
251.3274336,0.135790772
251.3274336,0.134281762
251.3274336,0.132772752
251.3274336,0.131263742
251.4237391,0.138808793
251.4237391,0.137299782
251.4237391,0.135790772
251.4237391,0.134281762
251.5200446,0.144844833
251.5200446,0.143335823
251.5200446,0.141826813
251.5200446,0.140317803
251.5200446,0.138808793
251.61635,0.149371864
251.61635,0.147862854
251.61635,0.146353844
251.61635,0.144844833
251.61635,0.143335823
251.61635,0.141826813
251.7126555,0.153898895
251.7126555,0.152389884
251.7126555,0.150880874
251.7126555,0.149371864
251.7126555,0.147862854
251.7126555,0.146353844
251.808961,0.158425925
251.808961,0.156916915
251.808961,0.155407905
251.808961,0.153898895
251.808961,0.150880874
251.9052665,0.159934935
251.9052665,0.158425925
251.9052665,0.156916915
251.9052665,0.155407905
252.0015719,0.165970976
252.0015719,0.164461966
252.0015719,0.162952956
252.0015719,0.161443946
252.0978774,0.170498007
252.0978774,0.168988996
252.0978774,0.167479986
252.0978774,0.165970976
252.0978774,0.164461966
252.0978774,0.162952956
252.1941829,0.173516027
252.1941829,0.172007017
252.1941829,0.170498007
252.1941829,0.168988996
252.1941829,0.167479986
252.2904883,0.176534047
252.2904883,0.175025037
252.2904883,0.173516027
252.3867938,0.181061078
252.3867938,0.179552068
252.3867938,0.178043058
252.3867938,0.176534047
252.3867938,0.175025037
252.4830993,0.185588109
252.4830993,0.184079098
252.4830993,0.182570088
252.4830993,0.181061078
252.5794048,0.190115139
252.5794048,0.188606129
252.5794048,0.187097119
252.5794048,0.185588109
252.6757102,0.19464217
252.6757102,0.19313316
252.6757102,0.191624149
252.6757102,0.190115139
252.7720157,0.19766019
252.7720157,0.19615118
252.7720157,0.19464217
252.8683212,0.202187221
252.8683212,0.200678211
252.8683212,0.1991692
252.8683212,0.19766019
252.9646266,0.206714251
252.9646266,0.205205241
252.9646266,0.203696231
252.9646266,0.202187221
253.0609321,0.212750292
253.0609321,0.211241282
253.0609321,0.209732272
253.0609321,0.208223261
253.1572376,0.214259302
253.1572376,0.212750292
253.2535431,0.220295343
253.2535431,0.218786333
253.2535431,0.217277323
253.2535431,0.215768312
253.3498485,0.224822374
253.3498485,0.223313363
253.3498485,0.221804353
253.3498485,0.220295343
253.446154,0.226331384
253.446154,0.224822374
253.5424595,0.230858414
253.5424595,0.229349404
253.5424595,0.227840394
253.6387649,0.233876435
253.6387649,0.232367425
253.7350704,0.236894455
253.7350704,0.235385445
253.7350704,0.233876435
253.8313759,0.238403465
253.8313759,0.236894455
253.9276814,0.241421486
253.9276814,0.239912476
254.0239868,0.244439506
254.0239868,0.242930496
254.0239868,0.241421486
254.1202923,0.245948516
254.1202923,0.244439506
254.2165978,0.248966537
254.2165978,0.247457527
254.3129032,0.248966537
254.3129032,0.247457527
254.4092087,0.251984557
254.4092087,0.250475547
254.4092087,0.248966537
254.5055142,0.251984557
254.5055142,0.250475547
254.5055142,0.248966537
254.6018197,0.253493567
254.6018197,0.251984557
254.6981251,0.256511588
254.6981251,0.255002577
254.6981251,0.253493567
254.7944306,0.256511588
254.7944306,0.255002577
254.8907361,0.256511588
254.8907361,0.255002577
254.8907361,0.253493567
254.9870415,0.259529608
254.9870415,0.258020598
254.9870415,0.256511588
255.083347,0.259529608
255.083347,0.258020598
255.083347,0.256511588
255.1796525,0.258020598
255.1796525,0.256511588
255.275958,0.258020598
255.275958,0.256511588
255.3722634,0.258020598
255.3722634,0.256511588
255.4685689,0.259529608
255.4685689,0.258020598
255.4685689,0.256511588
255.5648744,0.261038618
255.5648744,0.259529608
255.6611798,0.261038618
255.6611798,0.259529608
255.7574853,0.261038618
255.7574853,0.259529608
255.8537908,0.264056639
255.8537908,0.262547628
255.8537908,0.261038618
255.9500963,0.264056639
255.9500963,0.262547628
255.9500963,0.261038618
256.0464017,0.264056639
256.0464017,0.262547628
256.0464017,0.261038618
256.1427072,0.265565649
256.1427072,0.264056639
256.2390127,0.268583669
256.2390127,0.267074659
256.2390127,0.265565649
256.3353181,0.270092679
256.3353181,0.268583669
256.4316236,0.270092679
256.4316236,0.268583669
256.5279291,0.2731107
256.5279291,0.27160169
256.6242346,0.27763773
256.6242346,0.27612872
256.6242346,0.27461971
256.6242346,0.2731107
256.72054,0.280655751
256.72054,0.279146741
256.8168455,0.282164761
256.8168455,0.280655751
256.8168455,0.279146741
256.913151,0.285182781
256.913151,0.283673771
257.0094564,0.289709812
257.0094564,0.288200802
257.0094564,0.286691792
257.0094564,0.285182781
257.1057619,0.294236842
257.1057619,0.292727832
257.1057619,0.291218822
257.2020674,0.298763873
257.2020674,0.297254863
257.2020674,0.295745853
257.2983729,0.303290904
257.2983729,0.301781893
257.2983729,0.300272883
257.3946783,0.306308924
257.3946783,0.304799914
257.4909838,0.310835955
257.4909838,0.309326944
257.4909838,0.307817934
257.5872893,0.315362985
257.5872893,0.313853975
257.5872893,0.312344965
257.6835947,0.321399026
257.6835947,0.319890016
257.6835947,0.318381006
257.6835947,0.316871995
257.7799002,0.325926057
257.7799002,0.324417046
257.7799002,0.322908036
257.7799002,0.321399026
257.8762057,0.330453087
257.8762057,0.328944077
257.8762057,0.327435067
257.8762057,0.325926057
257.9725112,0.334980118
257.9725112,0.333471108
257.9725112,0.331962097
258.0688166,0.339507148
258.0688166,0.337998138
258.0688166,0.336489128
258.0688166,0.334980118
258.1651221,0.344034179
258.1651221,0.342525169
258.1651221,0.341016158
258.2614276,0.347052199
258.2614276,0.345543189
258.357733,0.35157923
258.357733,0.35007022
258.357733,0.348561209
258.357733,0.347052199
258.4540385,0.357615271
258.4540385,0.35610626
258.4540385,0.35459725
258.4540385,0.35308824
258.550344,0.362142301
258.550344,0.360633291
258.550344,0.359124281
258.550344,0.357615271
258.6466495,0.366669332
258.6466495,0.365160322
258.6466495,0.363651311
258.6466495,0.362142301
258.7429549,0.374214383
258.7429549,0.372705373
258.7429549,0.371196362
258.7429549,0.369687352
258.7429549,0.368178342
258.7429549,0.366669332
258.8392604,0.375723393
258.8392604,0.374214383
258.9355659,0.381759434
258.9355659,0.380250423
258.9355659,0.378741413
258.9355659,0.377232403
259.0318713,0.383268444
259.0318713,0.381759434
259.1281768,0.387795474
259.1281768,0.386286464
259.1281768,0.384777454
259.1281768,0.383268444
259.2244823,0.390813495
259.2244823,0.389304485
259.3207878,0.393831515
259.3207878,0.392322505
259.4170932,0.395340525
259.4170932,0.393831515
259.5133987,0.398358546
259.5133987,0.396849536
259.6097042,0.398358546
259.6097042,0.396849536
259.7060096,0.398358546
259.7060096,0.396849536
259.8023151,0.398358546
259.8023151,0.396849536
259.8986206,0.398358546
259.8986206,0.396849536
259.9949261,0.398358546
259.9949261,0.396849536
260.0912315,0.395340525
260.0912315,0.393831515
260.187537,0.393831515
260.187537,0.392322505
260.2838425,0.390813495
260.2838425,0.389304485
260.2838425,0.387795474
260.2838425,0.386286464
260.3801479,0.386286464
260.3801479,0.384777454
260.4764534,0.383268444
260.4764534,0.381759434
260.4764534,0.380250423
260.4764534,0.378741413
260.5727589,0.378741413
260.5727589,0.377232403
260.5727589,0.375723393
260.5727589,0.374214383
260.6690644,0.374214383
260.6690644,0.372705373
260.6690644,0.371196362
260.6690644,0.369687352
260.7653698,0.368178342
260.7653698,0.366669332
260.7653698,0.365160322
260.8616753,0.363651311
260.8616753,0.362142301
260.8616753,0.360633291
260.9579808,0.359124281
260.9579808,0.357615271
260.9579808,0.35610626
260.9579808,0.35459725
261.0542862,0.35459725
261.0542862,0.35308824
261.0542862,0.35157923
261.0542862,0.35007022
261.0542862,0.348561209
261.1505917,0.347052199
261.1505917,0.345543189
261.1505917,0.344034179
261.1505917,0.342525169
261.2468972,0.344034179
261.2468972,0.342525169
261.2468972,0.341016158
261.2468972,0.339507148
261.2468972,0.337998138
261.3432027,0.337998138
261.3432027,0.336489128
261.3432027,0.334980118
261.3432027,0.333471108
261.4395081,0.333471108
261.4395081,0.331962097
261.4395081,0.330453087
261.4395081,0.328944077
261.4395081,0.327435067
261.4395081,0.325926057
261.5358136,0.325926057
261.5358136,0.324417046
261.5358136,0.322908036
261.5358136,0.321399026
261.5358136,0.319890016
261.6321191,0.318381006
261.6321191,0.316871995
261.6321191,0.315362985
261.6321191,0.313853975
261.6321191,0.312344965
261.7284245,0.312344965
261.7284245,0.310835955
261.7284245,0.309326944
261.7284245,0.307817934
261.7284245,0.306308924
261.7284245,0.304799914
261.82473,0.304799914
261.82473,0.303290904
261.82473,0.301781893
261.82473,0.300272883
261.82473,0.298763873
261.82473,0.297254863
261.9210355,0.297254863
261.9210355,0.295745853
261.9210355,0.294236842
261.9210355,0.292727832
261.9210355,0.291218822
262.017341,0.289709812
262.017341,0.288200802
262.017341,0.286691792
262.017341,0.285182781
262.017341,0.283673771
262.1136464,0.283673771
262.1136464,0.282164761
262.1136464,0.280655751
262.1136464,0.279146741
262.1136464,0.27763773
262.1136464,0.27612872
262.2099519,0.27612872
262.2099519,0.27461971
262.2099519,0.2731107
262.2099519,0.27160169
262.2099519,0.270092679
262.2099519,0.268583669
262.3062574,0.268583669
262.3062574,0.267074659
262.3062574,0.265565649
262.3062574,0.264056639
262.3062574,0.262547628
262.4025628,0.261038618
262.4025628,0.259529608
262.4025628,0.258020598
262.4025628,0.256511588
262.4025628,0.255002577
262.4988683,0.253493567
262.4988683,0.251984557
262.4988683,0.250475547
262.4988683,0.248966537
262.4988683,0.247457527
262.5951738,0.245948516
262.5951738,0.244439506
262.5951738,0.242930496
262.5951738,0.241421486
262.5951738,0.239912476
262.6914793,0.238403465
262.6914793,0.236894455
