wavelength,absorbance
239.8207585,-0.086159548
239.8207585,-0.091247505
239.8207585,-0.096335462
239.8207585,-0.116687292
239.8207585,-0.125591218
239.8207585,-0.14085509
239.8207585,-0.158662941
239.8207585,-0.182830739
239.8690619,-0.163750898
239.8690619,-0.170110845
239.8690619,-0.175198802
239.8690619,-0.18028676
240.0139721,-0.107783367
240.0139721,-0.115415303
240.0139721,-0.12050326
240.0139721,-0.125591218
240.0139721,-0.130679175
240.0139721,-0.134495143
240.0139721,-0.14085509
240.0139721,-0.152302994
240.1105788,-0.072167665
240.1105788,-0.08107159
240.1105788,-0.087431537
240.1105788,-0.092519494
240.1105788,-0.10142342
240.1588822,-0.098243446
240.2071856,-0.110327345
240.255489,-0.116687292
240.4003992,-0.047999867
240.4003992,-0.055631803
240.4003992,-0.068351697
240.4003992,-0.078527611
240.4003992,-0.115415303
240.497006,-0.036551963
240.5936128,-0.055631803
240.5936128,-0.068351697
240.5936128,-0.079799601
240.5936128,-0.083615569
240.5936128,-0.089975516
240.5936128,-0.097607452
240.5936128,-0.102695409
240.5936128,-0.107783367
240.5936128,-0.112871324
240.5936128,-0.117959281
240.5936128,-0.123047239
240.5936128,-0.128135196
240.6902196,-0.135767132
240.738523,-0.14085509
240.738523,-0.145943047
240.738523,-0.151031005
240.738523,-0.154846973
240.8834331,-0.125591218
240.8834331,-0.130679175
240.8834331,-0.135767132
240.9800399,-0.10142342
240.9800399,-0.107783367
240.9800399,-0.111599335
240.9800399,-0.116687292
240.9800399,-0.12177525
241.0283433,-0.08234358
241.0283433,-0.087431537
241.0283433,-0.0918835
241.0766467,-0.04291191
241.0766467,-0.047999867
241.0766467,-0.056903792
241.0766467,-0.06199175
241.0766467,-0.067079707
241.0766467,-0.072167665
241.0766467,-0.077255622
241.1732535,-0.08234358
241.1732535,-0.086159548
241.1732535,-0.091247505
241.1732535,-0.097607452
241.1732535,-0.102695409
241.1732535,-0.109055356
241.1732535,-0.116687292
241.1732535,-0.123047239
241.1732535,-0.128135196
241.1732535,-0.133223154
241.1732535,-0.137039122
241.2698603,-0.031464005
241.2698603,-0.055631803
241.3181637,-0.072803659
241.3664671,-0.109055356
241.3664671,-0.116687292
241.3664671,-0.128135196
241.4147705,-0.08107159
241.4147705,-0.086159548
241.4147705,-0.091247505
241.4147705,-0.096335462
241.4147705,-0.10142342
241.4147705,-0.105875383
241.5596806,-0.095063473
241.5596806,-0.10015143
241.5596806,-0.105239388
241.5596806,-0.110327345
241.5596806,-0.115415303
241.5596806,-0.12050326
241.5596806,-0.125591218
241.5596806,-0.129407186
241.607984,-0.09061151
241.6240852,-0.084887558
241.6562874,-0.04163992
241.6562874,-0.049271856
241.6562874,-0.056903792
241.6562874,-0.06199175
241.6562874,-0.065807718
241.6562874,-0.072167665
241.6562874,-0.077255622
241.7528942,-0.097607452
241.7528942,-0.102695409
241.7528942,-0.107783367
241.7528942,-0.112871324
241.7528942,-0.117959281
241.7528942,-0.123047239
241.7528942,-0.128135196
241.7528942,-0.133223154
241.8011976,-0.138311111
241.8011976,-0.143399069
241.9461078,-0.049271856
241.9461078,-0.054359814
241.9461078,-0.059447771
241.9461078,-0.064535729
241.9461078,-0.069623686
241.9461078,-0.074711643
241.9461078,-0.079799601
241.9461078,-0.084887558
241.9461078,-0.089975516
241.9461078,-0.095063473
241.9461078,-0.10015143
241.9461078,-0.105239388
241.9461078,-0.110327345
241.9461078,-0.115415303
241.9461078,-0.123047239
241.9461078,-0.128135196
241.9461078,-0.131951164
242.1393214,-0.049271856
242.1393214,-0.054359814
242.1393214,-0.059447771
242.1393214,-0.079799601
242.1393214,-0.084887558
242.1393214,-0.095063473
242.1393214,-0.103967399
242.1393214,-0.110327345
242.1393214,-0.116687292
242.1876248,-0.043547904
242.2359281,0.029591484
242.2359281,0.024503526
242.2359281,0.014327611
242.2359281,-0.006024218
242.2359281,-0.012384165
242.2359281,-0.02256008
242.2359281,-0.028920027
242.2359281,-0.037823952
242.2842315,0.01814358
242.2842315,0.009239654
242.2842315,0.004151697
242.2842315,-0.000936261
242.4774451,0.061391218
242.5257485,0.055031271
242.5257485,0.044855356
242.5257485,0.034679441
242.5257485,0.021959548
242.5257485,0.01814358
242.5257485,0.011783633
242.5257485,0.006695675
242.6706587,0.000971723
242.7189621,0.03595143
242.7189621,0.01814358
242.7189621,0.010511643
242.8155689,0.047399335
242.8155689,0.042311377
242.9121756,-0.008568197
242.9121756,-0.012384165
242.9121756,-0.02128809
242.9121756,-0.025104059
242.9121756,-0.031464005
242.9121756,-0.039095941
242.9121756,-0.04291191
242.9121756,-0.049271856
242.9121756,-0.054359814
242.9121756,-0.059447771
243.0087824,-0.067079707
243.0087824,-0.072167665
243.0087824,-0.077255622
243.0087824,-0.08234358
243.0087824,-0.087431537
243.0087824,-0.092519494
243.0087824,-0.097607452
243.0087824,-0.102695409
243.0087824,-0.107783367
243.0087824,-0.112871324
243.0087824,-0.117959281
243.0087824,-0.12177525
243.0087824,-0.128135196
243.0087824,-0.133223154
243.0087824,-0.138311111
243.0087824,-0.143399069
243.0087824,-0.147215037
243.0087824,-0.152302994
243.1536926,-0.158662941
243.1536926,-0.162478909
243.201996,-0.12177525
243.201996,-0.128135196
243.201996,-0.133223154
243.201996,-0.138311111
243.201996,-0.143399069
243.201996,-0.147215037
243.201996,-0.153574983
243.2986028,-0.039095941
243.2986028,-0.044183899
243.2986028,-0.051815835
243.2986028,-0.056903792
243.2986028,-0.06071976
243.2986028,-0.067079707
243.2986028,-0.072167665
243.2986028,-0.077255622
243.2986028,-0.08234358
243.2986028,-0.086159548
243.2986028,-0.092519494
243.2986028,-0.097607452
243.2986028,-0.102695409
243.2986028,-0.107783367
243.2986028,-0.112871324
243.2986028,-0.116687292
243.3952096,0.000335729
243.3952096,-0.013656154
243.443513,-0.018744112
243.443513,-0.023832069
243.443513,-0.028284032
243.5884232,0.041039388
243.5884232,-0.009840186
243.7816367,0.03595143
243.7816367,-0.004752229
243.8299401,0.028955489
243.8299401,0.023231537
243.8299401,0.01814358
243.8299401,0.013055622
243.8299401,0.007967665
243.8299401,0.002879707
243.8299401,-0.00220825
243.8782435,-0.013656154
243.8782435,-0.018744112
243.8782435,-0.026376048
243.8782435,-0.031464005
243.8782435,-0.036551963
243.8782435,-0.04163992
243.8782435,-0.046727878
243.8782435,-0.051815835
243.9748503,-0.08234358
243.9748503,-0.087431537
243.9748503,-0.092519494
243.9748503,-0.097607452
243.9748503,-0.102695409
243.9748503,-0.107783367
243.9748503,-0.112871324
243.9748503,-0.117959281
243.9748503,-0.123047239
243.9748503,-0.128135196
243.9748503,-0.133223154
243.9748503,-0.137039122
244.0231537,-0.056903792
244.0231537,-0.06199175
244.0231537,-0.067079707
244.0231537,-0.072167665
244.0231537,-0.076619627
244.0714571,-0.026376048
244.0714571,-0.031464005
244.0714571,-0.036551963
244.0714571,-0.04163992
244.0714571,-0.046727878
244.0714571,-0.051815835
244.1358616,-0.02128809
244.2646707,0.011783633
244.2646707,0.002879707
244.2646707,-0.00348024
244.2646707,-0.009840186
244.3290752,0.01687159
244.3612774,0.039767399
244.3612774,0.034679441
244.3612774,0.024503526
244.4095808,0.030227478
244.4578842,0.020687558
244.4578842,-0.013656154
244.554491,0.105910845
244.554491,0.097006919
244.6027944,0.061391218
244.6510978,0.039767399
244.6510978,0.034679441
244.6510978,0.029591484
244.6510978,0.024503526
244.6510978,0.019415569
244.6510978,0.015599601
244.6510978,0.009239654
244.6510978,0.004151697
244.6510978,-0.000936261
244.6994012,0.055031271
244.6994012,0.049943313
244.6994012,0.044219361
244.7477046,0.085559015
244.7477046,0.080471058
244.7477046,0.070295143
244.796008,0.074111111
244.796008,0.063935196
244.796008,0.058847239
244.8443114,0.089374983
244.8443114,0.052487292
244.9409182,0.042311377
244.9409182,0.038495409
244.9409182,0.009239654
244.9892216,0.028319494
244.9892216,0.023231537
244.9892216,0.01814358
244.9892216,0.013055622
244.9892216,0.004151697
244.9892216,-0.000936261
244.9892216,-0.006024218
244.9892216,-0.011112176
244.9892216,-0.016200133
244.9892216,-0.02128809
244.9892216,-0.025740053
245.037525,-0.031464005
245.037525,-0.036551963
245.037525,-0.04163992
245.037525,-0.046727878
245.1341317,-0.054359814
245.1341317,-0.059447771
245.1341317,-0.064535729
245.1341317,-0.069623686
245.1341317,-0.074711643
245.1341317,-0.079799601
245.1341317,-0.110327345
245.1341317,-0.115415303
245.1341317,-0.123047239
245.1341317,-0.126863207
245.1824351,-0.086159548
245.1824351,-0.091247505
245.1824351,-0.096335462
245.1824351,-0.10142342
245.1824351,-0.106511377
245.3273453,-0.102695409
245.3273453,-0.110327345
245.3273453,-0.115415303
245.3273453,-0.12050326
245.3273453,-0.125591218
245.3273453,-0.133223154
245.4239521,-0.031464005
245.4239521,-0.044183899
245.4239521,-0.049271856
245.4239521,-0.054359814
245.4239521,-0.059447771
245.4239521,-0.064535729
245.4239521,-0.069623686
245.4239521,-0.074711643
245.4239521,-0.079799601
245.4239521,-0.084887558
245.4239521,-0.089975516
245.4239521,-0.095063473
245.5205589,0.01687159
245.5205589,-0.008568197
245.5205589,-0.018744112
245.5688623,0.011147638
245.5688623,0.005423686
245.5688623,0.000335729
245.5688623,-0.004752229
245.5688623,-0.01302016
245.5688623,-0.023832069
245.6171657,0.028319494
245.6171657,0.023231537
245.6171657,-0.028920027
245.6654691,-0.04163992
245.6654691,-0.047999867
245.6654691,-0.053087824
245.6654691,-0.058175782
245.6654691,-0.063263739
245.6654691,-0.067715702
245.7137725,-0.074711643
245.7137725,-0.078527611
245.7137725,-0.084887558
245.7137725,-0.089975516
245.7137725,-0.097607452
245.7137725,-0.102695409
245.7137725,-0.107783367
245.7137725,-0.112871324
245.7137725,-0.117959281
245.7137725,-0.123047239
245.7137725,-0.128135196
245.7137725,-0.133223154
245.7137725,-0.138311111
245.7137725,-0.143399069
245.7137725,-0.148487026
245.7137725,-0.153574983
245.7137725,-0.158662941
245.7137725,-0.163750898
245.7137725,-0.168838856
245.8103792,0.079199069
245.8103792,0.05630326
245.8103792,0.048671324
245.8103792,0.043583367
245.8103792,0.038495409
245.8103792,0.029591484
245.8103792,0.019415569
245.8103792,0.011783633
245.8103792,0.004151697
245.8103792,0.000335729
245.8103792,-0.007296208
245.8103792,-0.031464005
245.906986,-0.06071976
245.906986,-0.08234358
245.906986,-0.091247505
245.906986,-0.112871324
245.906986,-0.117959281
245.906986,-0.123047239
245.906986,-0.128135196
245.906986,-0.153574983
245.906986,-0.158662941
245.9552894,-0.133223154
245.9552894,-0.138311111
245.9552894,-0.143399069
245.9552894,-0.148487026
246.1001996,-0.123047239
246.1001996,-0.128135196
246.1001996,-0.133223154
246.1001996,-0.138311111
246.1001996,-0.143399069
246.1968064,-0.151031005
246.1968064,-0.156118962
246.1968064,-0.161206919
246.1968064,-0.171382834
246.2451098,-0.166294877
246.39002,-0.046727878
246.39002,-0.050543846
246.39002,-0.056903792
246.39002,-0.06199175
246.39002,-0.067079707
246.39002,-0.072167665
246.39002,-0.077255622
246.39002,-0.08234358
246.39002,-0.087431537
246.39002,-0.092519494
246.39002,-0.096335462
246.39002,-0.107783367
246.39002,-0.112871324
246.39002,-0.117959281
246.39002,-0.123047239
246.39002,-0.128135196
246.39002,-0.133223154
246.39002,-0.138311111
246.39002,-0.144671058
246.39002,-0.152302994
246.39002,-0.158662941
246.39002,-0.163750898
246.4383234,-0.040367931
246.4866267,0.080471058
246.4866267,0.055031271
246.4866267,0.049943313
246.4866267,0.044855356
246.4866267,0.039767399
246.4866267,0.034679441
246.4866267,0.029591484
246.4866267,0.024503526
246.4866267,0.019415569
246.4866267,0.015599601
246.4866267,0.004151697
246.4866267,-0.000936261
246.4866267,-0.006024218
246.4866267,-0.011112176
246.4866267,-0.014928144
246.4866267,-0.02128809
246.4866267,-0.026376048
246.4866267,-0.031464005
246.5832335,-0.144671058
246.5832335,-0.153574983
246.5832335,-0.158662941
246.5832335,-0.166294877
246.6315369,-0.044183899
246.6315369,-0.049271856
246.6315369,-0.054359814
246.6315369,-0.059447771
246.6315369,-0.064535729
246.6315369,-0.068987691
246.6315369,-0.074711643
246.6315369,-0.079799601
246.6315369,-0.084887558
246.6315369,-0.089975516
246.6315369,-0.095063473
246.6315369,-0.10015143
246.6315369,-0.105239388
246.6315369,-0.110327345
246.6315369,-0.115415303
246.6315369,-0.12050326
246.6315369,-0.125591218
246.6315369,-0.130679175
246.6315369,-0.135767132
246.6315369,-0.140219095
246.6798403,-0.017472122
246.6798403,-0.034007984
246.7281437,-0.007932202
246.7281437,-0.01302016
246.7764471,0.055031271
246.7764471,0.029591484
246.7764471,0.011783633
246.7764471,0.005423686
246.8730539,-0.067079707
246.8730539,-0.072167665
246.8730539,-0.077255622
246.8730539,-0.08234358
246.8730539,-0.086159548
246.8730539,-0.092519494
246.8730539,-0.096335462
246.8730539,-0.102695409
246.8730539,-0.107783367
246.8730539,-0.112871324
246.8730539,-0.117959281
246.8730539,-0.123047239
246.8730539,-0.128135196
246.8730539,-0.133223154
246.8730539,-0.137039122
246.9213573,-0.02128809
246.9213573,-0.026376048
246.9213573,-0.031464005
246.9213573,-0.036551963
246.9213573,-0.04163992
246.9213573,-0.046727878
246.9213573,-0.051815835
246.9213573,-0.056903792
246.9213573,-0.061355755
246.9696607,0.004151697
247.0179641,0.023231537
247.0179641,0.01814358
247.0179641,0.013691617
247.0179641,0.007967665
247.0179641,-0.000936261
247.0179641,-0.006660213
247.0179641,-0.012384165
247.0179641,-0.017472122
247.0662675,0.03595143
247.1628743,-0.031464005
247.1628743,-0.036551963
247.1628743,-0.04163992
247.1628743,-0.046727878
247.1628743,-0.051815835
247.1628743,-0.056903792
247.1628743,-0.06199175
247.1628743,-0.067079707
247.1628743,-0.072167665
247.1628743,-0.075983633
247.2111776,-0.025104059
247.259481,-0.008568197
247.3077844,0.025775516
247.3077844,0.020687558
247.3077844,0.015599601
247.3077844,0.010511643
247.3077844,0.005423686
247.3077844,0.000335729
247.3077844,-0.004116234
247.3077844,-0.013656154
247.3077844,-0.018744112
247.3238856,0.032135462
247.3560878,0.042311377
247.3560878,-0.023832069
247.3560878,-0.028920027
247.3560878,-0.034007984
247.3560878,-0.039095941
247.3560878,-0.044183899
247.3560878,-0.047999867
247.4526946,-0.10015143
247.4526946,-0.105239388
247.4526946,-0.110327345
247.4526946,-0.115415303
247.4526946,-0.12050326
247.4526946,-0.125591218
247.4526946,-0.130679175
247.4526946,-0.135767132
247.4526946,-0.1395831
247.500998,-0.055631803
247.500998,-0.06071976
247.500998,-0.065807718
247.500998,-0.070895675
247.500998,-0.075983633
247.500998,-0.08107159
247.500998,-0.086159548
247.500998,-0.091247505
247.500998,-0.095699468
247.6459082,-0.103967399
247.6459082,-0.112871324
247.6459082,-0.117959281
247.6459082,-0.123047239
247.6459082,-0.128135196
247.6459082,-0.14085509
247.6942116,-0.144671058
247.8874251,-0.145307053
247.9357285,-0.074711643
247.9357285,-0.079799601
247.9357285,-0.084887558
247.9357285,-0.089975516
247.9357285,-0.095063473
247.9357285,-0.10015143
247.9357285,-0.105239388
247.9357285,-0.110327345
247.9357285,-0.115415303
247.9357285,-0.12050326
247.9357285,-0.125591218
247.9357285,-0.130679175
247.9357285,-0.135767132
247.9357285,-0.14085509
248.0323353,0.001607718
248.0323353,-0.004752229
248.0323353,-0.013656154
248.0323353,-0.049271856
248.0323353,-0.054359814
248.0323353,-0.059447771
248.0323353,-0.064535729
248.0323353,-0.068351697
248.0806387,-0.020016101
248.0806387,-0.025104059
248.0806387,-0.030192016
248.0806387,-0.035279973
248.0806387,-0.040367931
248.0806387,-0.045455888
248.2255489,0.042311377
248.2255489,0.01687159
248.2255489,0.011783633
248.2255489,-0.013656154
248.2738523,0.046127345
248.2738523,0.03595143
248.2738523,0.030863473
248.2738523,0.025775516
248.2738523,0.020687558
248.2738523,0.006059681
248.2738523,0.000971723
248.2899534,0.052911289
248.4187625,-0.049271856
248.4187625,-0.054359814
248.4187625,-0.059447771
248.4187625,-0.064535729
248.4187625,-0.069623686
248.4187625,-0.074711643
248.4187625,-0.079799601
248.4187625,-0.084887558
248.4187625,-0.089975516
248.4670659,-0.00348024
248.4670659,-0.008568197
248.4670659,-0.013656154
248.4670659,-0.018744112
248.4670659,-0.023832069
248.4670659,-0.028920027
248.4670659,-0.034007984
248.4670659,-0.039095941
248.4670659,-0.043547904
248.611976,0.010511643
248.611976,0.004151697
248.611976,-0.000936261
248.611976,-0.006024218
248.611976,-0.011112176
248.611976,-0.016200133
248.7085828,0.047399335
248.7085828,0.042311377
248.7085828,0.03722342
248.7085828,0.032135462
248.7085828,0.027047505
248.7085828,0.021959548
248.7085828,0.01814358
248.8051896,0.113542781
248.8051896,0.089374983
248.8051896,0.083015037
248.8051896,0.077927079
248.8051896,0.072839122
248.8051896,0.067751164
248.8051896,0.063935196
248.8051896,0.055031271
248.853493,0.108454824
248.853493,0.103366866
248.853493,0.098278909
248.853493,0.093190951
248.9017964,0.140254558
248.9017964,0.124990685
248.9017964,0.119902728
248.9984032,0.030863473
249.0467066,-0.000936261
249.0467066,-0.006024218
249.0467066,-0.020016101
249.0467066,-0.025104059
249.0467066,-0.031464005
249.0467066,-0.036551963
249.0467066,-0.041003925
249.0628077,-0.013656154
249.09501,-0.046727878
249.09501,-0.051815835
249.09501,-0.056903792
249.09501,-0.06199175
249.09501,-0.072167665
249.09501,-0.077255622
249.09501,-0.08234358
249.09501,-0.087431537
249.1916168,0.066479175
249.1916168,0.044855356
249.1916168,0.039767399
249.1916168,0.03595143
249.1916168,0.029591484
249.1916168,0.024503526
249.1916168,0.01687159
249.1916168,0.011783633
249.1916168,0.006695675
249.2399202,0.085559015
249.2399202,0.080471058
249.2399202,0.076019095
249.3848303,0.084287026
249.3848303,0.071567132
249.3848303,0.066479175
249.3848303,0.042311377
249.3848303,0.03722342
249.3848303,0.019415569
249.3848303,0.014327611
249.3848303,0.009239654
249.3848303,-0.000936261
249.3848303,-0.006024218
249.3848303,-0.011112176
249.3848303,-0.016200133
249.3848303,-0.02128809
249.3848303,-0.026376048
249.4814371,-0.034007984
249.4814371,-0.039095941
249.4814371,-0.044183899
249.4814371,-0.049271856
249.4814371,-0.125591218
249.4814371,-0.130679175
249.4814371,-0.135767132
249.4814371,-0.14085509
249.4814371,-0.145943047
249.4814371,-0.149759015
249.5297405,-0.055631803
249.5297405,-0.06071976
249.5297405,-0.065807718
249.5297405,-0.070895675
249.5297405,-0.075983633
249.5297405,-0.08107159
249.5297405,-0.086159548
249.5297405,-0.091247505
249.5297405,-0.096335462
249.5297405,-0.10142342
249.5297405,-0.106511377
249.5297405,-0.111599335
249.5297405,-0.116687292
249.5297405,-0.121139255
249.6746507,-0.008568197
249.6746507,-0.013656154
249.6746507,-0.018744112
249.6746507,-0.02256008
249.6746507,-0.051815835
249.7229541,-0.032735995
249.7229541,-0.037823952
249.7229541,-0.04291191
249.7229541,-0.047999867
249.7712575,-0.056903792
249.7712575,-0.06071976
249.7712575,-0.067079707
249.8678643,-0.007296208
249.8678643,-0.013656154
249.8678643,-0.018744112
249.8678643,-0.023832069
249.8678643,-0.027648037
249.9161677,0.005423686
249.9161677,0.000335729
249.9161677,-0.004116234
249.9322688,0.012207629
249.9644711,0.019415569
250.0610778,-0.008568197
250.0610778,-0.013656154
250.1093812,-0.020016101
250.1093812,-0.025104059
250.1093812,-0.030192016
250.1093812,-0.035279973
250.1093812,-0.040367931
250.1093812,-0.045455888
250.1576846,-0.051815835
250.1576846,-0.055631803
250.2542914,0.067751164
250.2542914,0.062663207
250.2542914,0.05757525
250.2542914,0.052487292
250.2542914,0.047399335
250.2542914,0.042311377
250.2542914,0.03722342
250.2542914,0.032135462
250.2542914,0.027047505
250.2542914,0.023231537
250.2542914,0.01687159
250.2542914,0.011783633
250.2542914,0.006695675
250.2542914,0.001607718
250.2542914,-0.00348024
250.2542914,-0.008568197
250.2542914,-0.013656154
250.3508982,0.122446707
250.3508982,0.11481477
250.3508982,0.108454824
250.3508982,0.103366866
250.3508982,0.074111111
250.3992016,0.097006919
250.3992016,0.091918962
250.3992016,0.086831005
250.3992016,0.081743047
250.3992016,0.07665509
250.447505,0.070295143
250.447505,0.065207186
250.447505,0.061391218
250.447505,0.055031271
250.447505,0.049943313
250.447505,0.044855356
250.447505,0.039767399
250.447505,0.034679441
250.447505,0.029591484
250.447505,0.024503526
250.5441118,0.014327611
250.5441118,0.004151697
250.5441118,-0.000936261
250.5441118,-0.004752229
250.5441118,-0.016200133
250.5441118,-0.02128809
250.5924152,-0.026376048
250.5924152,-0.031464005
250.5924152,-0.036551963
250.5924152,-0.04163992
250.5924152,-0.046727878
250.5924152,-0.051815835
250.5924152,-0.056903792
250.5924152,-0.06199175
250.5924152,-0.067079707
250.6407186,-0.072167665
250.6407186,-0.077255622
